Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course,Placement(Y/N)?,Required job role ,
rohan_rana72@gmail.com,Rohan Rana,Male,CBSE,83.1,CBSE,61.9,Artificial Intelligence and Data Science,7.37,Yes,No,0,Yes,3,4,Placed,Data Analyst,
tanushree_mandal24@gmail.com,Tanushree Mandal,Female,CBSE,75.5,WBCHSE,73.8,Artificial Intelligence and Machine Learning,8.55,No,Yes,0,Yes,5,3,Placed,Machine Learning Engineer,
bharat_sharma46@gmail.com,Bharat Sharma,Male,ICSE,76.3,CBSE,81.8,Artificial Intelligence And Machine Learning,9.07,Yes,Yes,0,Yes,5,2,Placed,AI Engineer,
arpita_biswas29@gmail.com,Arpita Biswas,Female,ICSE,73,WBCHSE,72.8,Artificial Intelligence and Data Science,8.35,No,No,0,No,4,1,Placed,Data Analyst,
rajesh_mandal97@gmail.com,Rajesh Mandal,Male,State Board,84.2,ISE,78.8,Artificial Intelligence and  Machine Learning,8.88,Yes,No,0,Yes,3,2,Placed,Data Analyst,
gopal_sah27@gmail.com,Gopal Sah,Male,CBSE,90.6,CBSE,69.9,Artificial Intelligence and Data Science,8.33,No,No,0,Yes,2,3,Placed,Business Analyst,
shifasayyad032@gmail.com,Sayyed Shifa Imdadulla Hussaini,Female,State Board,94.6,Diploma board - MSBTE,91.5,Artificial Intelligence and Data Science,8.3,Yes,Yes,0,No,2,1,Not Placed,Data Analyst,
susmita_ghosh64@gmail.com,Susmita Ghosh,Female,WBBSE,81.2,WBCHSE,70,Information Technology,7.36,No,Yes,1,Yes,2,3,Not Placed,Cloud Engineer,
imanimesh1210@gmail.com,Animesh Mahata,Male,CBSE,83,CBSE,88,Artificial Intelligence and Machine Learning,7.9,No,No,0,No,2,3,Placed,Machine Learning Engineer,
rohan_kumar_rai22@gmail.com,Rohan Kumar Rai,Male,CBSE,92.3,CBSE,91.3,Computer Science,8.78,Yes,Yes,0,No,2,1,Not Placed,Machine Learning Engineer,
kavya_iyer77@gmail.com,Kavya Iyer,Female,WBBSE,96.6,WBCHSE,85,Artificial Intelligence and Data Science,8.54,Yes,No,0,Yes,4,4,Placed,Business Analyst,
ujjal_bardhan9@gmail.com,Ujjal Bardhan,Male,ICSE,71.3,WBCHSE,91.8,Artificial Intelligence and Data Science,7.52,No,Yes,0,Yes,1,3,Not Placed,Business Analyst,
samikmandal9@gmail.com,SAMIK MANDAL,Male,CBSE,79,CBSE,83,Artificial Intelligence and Data Science,9.21,No,No,0,No,4,2,Placed,Data Analyst,
nayana_gupta89@gmail.com,Nayana Gupta,Female,CBSE,74,WBCHSE,92,Cyber Security Engineer,7.34,Yes,Yes,0,Yes,4,2,Placed,Cyber Security Analyst,
rajesh_sharma10@gmail.com,Rajesh Sharma,Male,ICSE,95.2,ISE,60.9,Information Technology,8.89,Yes,Yes,0,No,2,2,Not Placed,Cloud Engineer,
dhrubosh@gmail.com,Dhrubojyoti Saha,Male,WBBSE,32,WBCHSE,59.83,Artificial Intelligence And Machine Learning,9.2,No,No,0,Yes,2,2,Not Placed,AI Engineer,
urmi_bera90@gmail.com,Urmi Bera,Female,State Board,96.1,CBSE,87.9,Artificial Intelligence and Data Science,8.34,No,Yes,0,Yes,2,4,Placed,Business Analyst,
dheeraj_kumar80@gmail.com,Dheeraj Kumar,Male,ICSE,97.5,ISE,62.3,Information Technology,8.94,Yes,Yes,0,Yes,4,2,Placed,Cloud Engineer,
riya_sinha96@gmail.com,Riya Sinha,Female,State Board,89.9,Other state Board,73.1,Information Technology,7.24,No,No,0,Yes,3,1,Not Placed,Cloud Engineer,
samik_dutta27@gmail.com,Samik Dutta,Male,CBSE,90.2,ISE,76,Information Technology,9.11,Yes,Yes,0,Yes,2,3,Placed,Cloud Engineer,
radha_kumari58@gmail.com,Radha Kumari,Female,CBSE,85.4,Other state Board,91.7,Artificial Intelligence and Machine Learning,7.87,Yes,Yes,0,Yes,5,2,Placed,Machine Learning Engineer,
ritika_choudhury18@gmail.com,Ritika Choudhury,Female,ICSE,92.1,ISE,83,Computer Science,7.49,No,No,0,Yes,2,4,Placed,Software Developer,
ipshita_bhattacharya60@gmail.com,Ipshita Bhattacharya,Female,CBSE,74.7,CBSE,93.1,Artificial Intelligence and Machine Learning,8.11,Yes,Yes,0,Yes,3,1,Not Placed,Machine Learning Engineer,
sunilgarai210@gmail.com,Sunil Garai,Male,WBBSE,47,WBCHSE,88,Artificial Intelligence and Data Science,7.9,Yes,Yes,0,Yes,3,3,Placed,Data Analyst,
pooja_chauhan10@gmail.com,Pooja Chauhan,Female,CBSE,93.4,Other state Board,88,Artificial Intelligence and Data Science,8.49,No,No,0,Yes,2,2,Placed,Business Analyst,
anisha_ghosh17@gmail.com,Anisha Ghosh,Female,State Board,97.5,WBCHSE,60.3,Artificial Intelligence And Machine Learning,9.29,Yes,No,0,Yes,1,4,Not Placed,AI Engineer,
milankamilya5501@gmail.com,Milan Kamilya,Male,WBBSE,91,WBCHSE,87,Computer Science ,8.2,Yes,Yes,0,Yes,3,4,Placed,Full Stack Developer,
mita_dutta42@gmail.com,Mita Dutta,Female,ICSE,74.3,Other state Board,93.1,Information Technology,8.36,No,No,0,Yes,5,3,Placed,Cloud Engineer,
nishant_mandal90@gmail.com,Nishant Mandal,Male,ICSE,99.8,ISE,80.8,Artificial Intelligence And Machine Learning,8.26,Yes,No,0,Yes,3,4,Placed,AI Engineer,
debika_mazumdar69@gmail.com,Debika Mazumdar,Female,CBSE,70.7,Other state Board,62.2,Artificial Intelligence and Data Science,8.2,No,No,0,Yes,5,3,Placed,Data Analyst,
neeraj_verma56@gmail.com,Neeraj Verma,Male,State Board,95.4,CBSE,79,Artificial Intelligence and Data Science,7.96,Yes,Yes,0,Yes,5,2,Placed,Business Analyst,
payal_sengupta31@gmail.com,Payal Sengupta,Female,WBBSE,88.4,Other state Board,83.4,Artificial Intelligence and Machine Learning,7.4,No,Yes,0,Yes,1,1,Not Placed,Machine Learning Engineer,
arnav_sen56@gmail.com,Arnav Sen,Male,WBBSE,89.5,ISE,79.9,Artificial Intelligence And Machine Learning,8.41,Yes,No,0,No,5,2,Placed,AI Engineer,
nikhil_rana90@gmail.com,Nikhil Rana,Male,State Board,72.2,Other state Board,80.5,Artificial Intelligence and Data Science,9.28,No,No,0,No,2,3,Placed,Data Analyst,
anupam_mitra99@gmail.com,Anupam Mitra,Male,WBBSE,87.5,WBCHSE,72.9,Information Technology,8.18,Yes,No,0,No,3,1,Not Placed,Cloud Engineer,
prakash_pandey63@gmail.com,Prakash Pandey,Male,State Board,75.2,ISE,85.5,Computer Science,8.18,Yes,Yes,0,No,1,2,Not Placed,Software Developer,
abhirup_mazumdar30@gmail.com,Abhirup Mazumdar,Male,ICSE,87.4,WBCHSE,91.4,Artificial Intelligence and Machine Learning,8.41,Yes,No,0,Yes,1,3,Not Placed,Machine Learning Engineer,
bikram_pal7@gmail.com,Bikram Pal,Male,ICSE,98.3,Other state Board,94.7,Artificial Intelligence and Data Science,8.52,Yes,No,0,Yes,1,3,Not Placed,Data Analyst,
rajiv_mandal78@gmail.com,Rajiv Mandal,Male,ICSE,85.2,Other state Board,80.7,Cyber Security Engineer,7.69,No,No,0,Yes,1,4,Placed,Cyber Security Analyst,
amit_sinha11@gmail.com,Amit Sinha,Male,State Board,86.6,Other state Board,81.3,Artificial Intelligence and Data Science,7.15,No,Yes,1,No,5,1,Not Placed,Data Analyst,
sunil_singh27@gmail.com,Sunil Singh,Male,ICSE,94.1,ISE,62.8,Information Technology,7.55,No,Yes,0,Yes,5,4,Placed,Cloud Engineer,
ranjangiri8500@gmail.com,Ranjan Giri,Male,WBBSE,79.4,WBCHSE,79.4,Computer Science ,9.34,No,Yes,0,Yes,2,2,Not Placed,Full Stack Developer,
ujjal_sengupta98@gmail.com,Ujjal Sengupta,Male,WBBSE,95.1,Other state Board,81.7,Artificial Intelligence and Machine Learning,8.08,Yes,No,0,Yes,1,2,Not Placed,Machine Learning Engineer,
sohini_mishra17@gmail.com,Sohini Mishra,Female,ICSE,72,Other state Board,90.5,Artificial Intelligence and  Machine Learning,9.21,No,Yes,0,Yes,1,3,Not Placed,Data Analyst,
jaya_mukherjee94@gmail.com,Jaya Mukherjee,Female,CBSE,84.5,WBCHSE,87.4,Artificial Intelligence and Data Science,7.67,No,No,0,Yes,5,4,Placed,Business Analyst,
suvankar_dey96@gmail.com,Suvankar Dey,Male,WBBSE,75.7,Other state Board,80.6,Artificial Intelligence and Machine Learning,7.35,Yes,No,0,Yes,4,4,Placed,Machine Learning Engineer,
indrajit_chakraborty6@gmail.com,Indrajit Chakraborty,Male,CBSE,91.7,WBCHSE,91.9,Artificial Intelligence and Data Science,7.14,Yes,No,1,No,2,2,Not Placed,Data Analyst,
sneha_kumari79@gmail.com,Sneha Kumari,Female,ICSE,82.8,Other state Board,89.8,Artificial Intelligence and Data Science,8.45,Yes,Yes,0,Yes,3,1,Not Placed,Business Analyst,
ananya_choudhary92@gmail.com,Ananya Choudhary,Female,State Board,80.2,CBSE,74.7,Artificial Intelligence and Machine Learning,8.82,Yes,Yes,0,No,2,1,Not Placed,Machine Learning Engineer,
debika_chauhan67@gmail.com,Debika Chauhan,Female,ICSE,92.7,CBSE,82.1,Artificial Intelligence and Data Science,8.88,Yes,Yes,0,No,1,1,Not Placed,Data Analyst,
mita_bera69@gmail.com,Mita Bera,Female,CBSE,82.9,Other state Board,86.1,Artificial Intelligence and Data Science,9.23,No,Yes,0,No,4,1,Not Placed,Business Analyst,
sunil_sharma33@gmail.com,Sunil Sharma,Male,State Board,85.7,Other state Board,63.6,Artificial Intelligence and Data Science,9.02,Yes,No,0,Yes,4,2,Placed,Data Analyst,
koushiki_das41@gmail.com,Koushiki Das,Female,CBSE,87.5,Other state Board,87.3,Artificial Intelligence and  Machine Learning,7.23,Yes,Yes,0,No,3,2,Placed,Data Analyst,
nikhil_chauhan98@gmail.com,Nikhil Chauhan,Male,ICSE,95.6,CBSE,94,Cyber Security Engineer,8.21,No,Yes,0,No,5,1,Not Placed,Cyber Security Analyst,
amit_das69@gmail.com,Amit Das,Male,ICSE,77.6,ISE,84.6,Artificial Intelligence and Data Science,9.12,No,Yes,0,No,2,1,Not Placed,Data Analyst,
kavya_chakraborty27@gmail.com,Kavya Chakraborty,Female,CBSE,79.7,Other state Board,91.5,Computer Science ,9.21,Yes,Yes,0,No,2,3,Placed,Full Stack Developer,
sneha_pandey6@gmail.com,Sneha Pandey,Female,WBBSE,82,Other state Board,75.9,Information Technology,7.6,No,Yes,0,Yes,1,4,Placed,Cloud Engineer,
anisha_goswami29@gmail.com,Anisha Goswami,Female,WBBSE,70.7,ISE,77.4,Artificial Intelligence and Data Science,8.22,No,No,0,No,2,2,Not Placed,Data Analyst,
smita_bhat82@gmail.com,Smita Bhat,Female,CBSE,77.3,CBSE,91.4,Artificial Intelligence and  Machine Learning,8.92,Yes,No,0,Yes,3,3,Placed,Data Analyst,
ayesha_kumari81@gmail.com,Ayesha Kumari,Female,ICSE,81,CBSE,79.8,Artificial Intelligence and Data Science,8.1,No,Yes,0,Yes,2,1,Not Placed,Data Analyst,
subhash_paul83@gmail.com,Subhash Paul,Male,CBSE,82.9,ISE,71.8,Artificial Intelligence and Data Science,7.46,No,No,0,Yes,4,2,Placed,Data Analyst,
arpita_choudhary4@gmail.com,Arpita Choudhary,Female,CBSE,76.2,Other state Board,74.8,Artificial Intelligence and Machine Learning,9.04,Yes,No,0,No,4,1,Not Placed,Machine Learning Engineer,
manish_sah34@gmail.com,Manish Sah,Male,ICSE,83.6,Other state Board,70.9,Artificial Intelligence And Machine Learning,8.95,No,No,0,Yes,2,4,Placed,AI Engineer,
payal_bardhan57@gmail.com,Payal Bardhan,Female,ICSE,78.7,Other state Board,62.5,Artificial Intelligence and Data Science,9.16,Yes,Yes,0,No,3,1,Not Placed,Business Analyst,
debanshu_pal54@gmail.com,Debanshu Pal,Male,State Board,78.6,ISE,86.9,Artificial Intelligence and Data Science,8.23,No,Yes,0,Yes,1,3,Placed,Business Analyst,
madhuri_jha17@gmail.com,Madhuri Jha,Female,CBSE,88.1,ISE,82.6,Artificial Intelligence and Data Science,7.1,Yes,Yes,2,Yes,4,2,Not Placed,Data Analyst,
jyoti_modi10@gmail.com,Jyoti Modi,Female,State Board,85.5,Other state Board,82.4,Computer Science,7.49,No,No,0,Yes,1,4,Placed,Software Developer,
chatterjeeraunak2k@gmail.com,Raunak Chatterjee,Male,ICSE,91.8,CISCE,88.5,Computer Science ,9.48,No,No,0,Yes,3,2,Placed,Full Stack Developer,
ishika_paul88@gmail.com,Ishika Paul,Female,WBBSE,73.2,WBCHSE,65,Artificial Intelligence and Machine Learning,7.79,No,No,0,Yes,4,2,Placed,Machine Learning Engineer,
ayesha_mukherjee97@gmail.com,Ayesha Mukherjee,Female,CBSE,99.9,ISE,86.4,Artificial Intelligence and Data Science,9.16,Yes,No,0,Yes,3,3,Placed,Data Analyst,
payal_paul96@gmail.com,Payal Paul,Female,CBSE,77.5,WBCHSE,69,Artificial Intelligence and Data Science,8.3,No,No,0,Yes,4,1,Not Placed,Business Analyst,
ipshita_mukherjee52@gmail.com,Ipshita Mukherjee,Female,WBBSE,83.7,WBCHSE,91,Information Technology,7.11,No,Yes,2,No,4,2,Not Placed,Cloud Engineer,
ishani_srivastava88@gmail.com,Ishani Srivastava,Female,ICSE,91.7,CBSE,68.9,Cyber Security Engineer,8.34,No,Yes,0,No,2,2,Placed,Cyber Security Analyst,
debjit_sen92@gmail.com,Debjit Sen,Male,WBBSE,72.4,ISE,80.6,Artificial Intelligence and Data Science,9.16,Yes,No,0,Yes,2,4,Placed,Data Analyst,
anjali_bhattacharya70@gmail.com,Anjali Bhattacharya,Female,WBBSE,70.8,Other state Board,65.1,Artificial Intelligence and Data Science,8.64,No,Yes,0,Yes,3,3,Placed,Data Analyst,
sunil_yadav15@gmail.com,Sunil Yadav,Male,ICSE,82.9,ISE,87.3,Cyber Security Engineer,8.49,No,Yes,0,Yes,2,4,Placed,Cyber Security Analyst,
jaya_pandey38@gmail.com,Jaya Pandey,Female,CBSE,84.8,Other state Board,92.8,Artificial Intelligence and Data Science,7.01,No,No,3,Yes,2,3,Not Placed,Data Analyst,
bikram_chakraborty20@gmail.com,Bikram Chakraborty,Male,ICSE,99.8,CBSE,63.7,Artificial Intelligence and  Machine Learning,9.35,No,Yes,0,No,3,1,Not Placed,Data Analyst,
ayesha_dey24@gmail.com,Ayesha Dey,Female,State Board,70.6,Other state Board,70.7,Artificial Intelligence and Machine Learning,8.43,Yes,Yes,0,Yes,1,4,Placed,Machine Learning Engineer,
anand_kumar5@gmail.com,Anand Kumar,Male,State Board,91.2,Other state Board,73.3,Information Technology,8.49,Yes,No,0,Yes,5,2,Placed,Cloud Engineer,
kaushik_kar45@gmail.com,Kaushik Kar,Male,State Board,80.5,CBSE,68.6,Information Technology,7.28,No,No,1,Yes,2,4,Not Placed,Cloud Engineer,
piyali_goswami71@gmail.com,Piyali Goswami,Female,CBSE,70.9,ISE,94.8,Artificial Intelligence and Machine Learning,8.8,Yes,No,0,Yes,1,1,Not Placed,Machine Learning Engineer,
mita_mahato27@gmail.com,Mita Mahato,Female,WBBSE,97,WBCHSE,88.6,Artificial Intelligence and Data Science,8.24,No,Yes,0,Yes,4,4,Placed,Data Analyst,
sneha_rao2@gmail.com,Sneha Rao,Female,CBSE,88.3,Other state Board,78.4,Information Technology,7.61,Yes,Yes,0,No,5,2,Placed,Cloud Engineer,
rohan_mitra72@gmail.com,Rohan Mitra,Male,WBBSE,88.7,WBCHSE,83.6,Artificial Intelligence and Data Science,7.27,No,Yes,0,Yes,5,3,Placed,Data Analyst,
anisha_kar28@gmail.com,Anisha Kar,Female,CBSE,85.3,CBSE,76.4,Information Technology,9.25,No,No,0,Yes,4,1,Not Placed,Cloud Engineer,
deysumant150@gmail.com,SUMANT KUMAR DEY,Male,State Board,59,Other state Board,55,Artificial Intelligence and Data Science,7.93,No,Yes,0,Yes,3,2,Placed,Business Analyst,
madhurima_mukherjee53@gmail.com,Madhurima Mukherjee,Female,State Board,87.1,CBSE,87,Computer Science,8.68,Yes,No,0,Yes,5,2,Placed,Software Developer,
nikhil_pathak24@gmail.com,Nikhil Pathak,Male,State Board,96.5,Other state Board,80.9,Cyber Security Engineer,8.27,Yes,No,0,No,1,3,Not Placed,Cyber Security Analyst,
debanshu_ghosh46@gmail.com,Debanshu Ghosh,Male,State Board,91,Other state Board,86.1,Artificial Intelligence and Data Science,8.82,No,Yes,0,Yes,2,4,Placed,Data Analyst,
indira_roy69@gmail.com,Indira Roy,Female,CBSE,81.8,ISE,63.5,Artificial Intelligence and  Machine Learning,7.04,Yes,Yes,3,No,4,2,Not Placed,Data Analyst,
unk5659@gmail.com,Utkarsh Nandkumar koshti,Male,State Board,73,Other state Board,84,Computer Science ,7.12,No,Yes,0,No,3,2,Placed,Full Stack Developer,
shreya_rajput89@gmail.com,Shreya Rajput,Female,ICSE,76.4,Other state Board,66.2,Computer Science ,8.66,Yes,Yes,0,No,2,3,Placed,Full Stack Developer,
trisha_dutta92@gmail.com,Trisha Dutta,Female,ICSE,83.9,WBCHSE,93.5,Artificial Intelligence and Data Science,8.13,No,Yes,0,Yes,5,1,Not Placed,Business Analyst,
nayana_rao35@gmail.com,Nayana Rao,Female,State Board,90.5,Other state Board,83.1,Computer Science,8.27,Yes,No,0,No,3,3,Placed,Software Developer,
debika_rao29@gmail.com,Debika Rao,Female,ICSE,94,CBSE,74.7,Artificial Intelligence and Data Science,8.71,No,No,0,No,4,2,Placed,Business Analyst,
nikhil_jha10@gmail.com,Nikhil Jha,Male,CBSE,85.9,ISE,76.9,Artificial Intelligence and Machine Learning,8.85,Yes,Yes,0,Yes,5,4,Placed,Machine Learning Engineer,
naira_singhania72@gmail.com,Naira Singhania,Female,WBBSE,98.5,WBCHSE,69.8,Artificial Intelligence and Machine Learning,8.47,No,No,0,Yes,2,2,Not Placed,Machine Learning Engineer,
pawan_dev38@gmail.com,Pawan Dev,Male,ICSE,90.6,Other state Board,64.2,Information Technology,7.09,No,Yes,3,No,1,2,Not Placed,Cloud Engineer,
simran.sagar08@gmail.com,Simran,Female,CBSE,97.2,CBSE,96.4,Information Technology,8.26,Yes,Yes,0,Yes,3,2,Placed,Cloud Engineer,
aparna_banerjee47@gmail.com,Aparna Banerjee,Female,WBBSE,89.2,WBCHSE,89.7,Cyber Security Engineer,8.33,Yes,No,0,No,2,1,Not Placed,Cyber Security Analyst,
naira_rao84@gmail.com,Naira Rao,Female,State Board,97.6,Other state Board,87.5,Artificial Intelligence and Data Science,9.17,Yes,Yes,0,No,1,3,Placed,Data Analyst,
nikhil_kumar35@gmail.com,Nikhil Kumar,Male,CBSE,84.2,Other state Board,88,Computer Science ,8.11,Yes,Yes,0,Yes,4,4,Placed,Full Stack Developer,
rina_bera51@gmail.com,Rina Bera,Female,CBSE,82.8,CBSE,61.9,Information Technology,8.57,Yes,No,0,Yes,2,3,Placed,Cloud Engineer,
radha_yadav68@gmail.com,Radha Yadav,Female,CBSE,72.6,Other state Board,62.6,Artificial Intelligence and Data Science,8.04,No,No,0,Yes,5,2,Placed,Data Analyst,
ananya_ghosh95@gmail.com,Ananya Ghosh,Female,State Board,91,ISE,91.8,Artificial Intelligence and Data Science,7.39,Yes,Yes,0,No,1,3,Placed,Data Analyst,
mandira_kar78@gmail.com,Mandira Kar,Female,CBSE,82.8,ISE,85,Artificial Intelligence And Machine Learning,7.51,No,No,0,Yes,4,1,Not Placed,AI Engineer,
dipankar_ghosh62@gmail.com,Dipankar Ghosh,Male,State Board,75.4,ISE,83.1,Computer Science ,7.77,No,Yes,0,Yes,4,4,Placed,Full Stack Developer,
vikas_kumar81@gmail.com,Vikas Kumar,Male,ICSE,90.8,ISE,74.7,Information Technology,7.32,Yes,Yes,0,No,4,3,Placed,Cloud Engineer,
mukesh_sharma85@gmail.com,Mukesh Sharma,Male,State Board,93,Other state Board,66.4,Artificial Intelligence and Data Science,7.4,No,Yes,0,Yes,4,3,Placed,Business Analyst,
khusi_srivastava13@gmail.com,Khusi Srivastava,Female,ICSE,78.3,ISE,92.5,Computer Science ,8.01,Yes,Yes,0,No,2,2,Not Placed,Full Stack Developer,
piyali_mitra89@gmail.com,Piyali Mitra,Female,ICSE,74.1,CBSE,80.1,Cyber Security Engineer,7.12,Yes,No,1,Yes,4,4,Not Placed,Cyber Security Analyst,
anand_pandey50@gmail.com,Anand Pandey,Male,State Board,78.4,ISE,81.6,Computer Science ,8.77,Yes,No,0,Yes,1,4,Placed,Full Stack Developer,
urmi_srivastava15@gmail.com,Urmi Srivastava,Female,State Board,70.5,WBCHSE,63.9,Cyber Security Engineer,7.54,Yes,Yes,0,Yes,5,3,Placed,Cyber Security Analyst,
abhijit_chakrabarti23@gmail.com,Abhijit Chakrabarti,Male,State Board,86.7,WBCHSE,71.4,Cyber Security Engineer,8.82,Yes,Yes,0,Yes,1,2,Placed,Cyber Security Analyst,
rajiv_chakrabarti53@gmail.com,Rajiv Chakrabarti,Male,CBSE,95,CBSE,93.2,Computer Science ,7.21,No,No,0,Yes,4,4,Placed,Full Stack Developer,
vikram_banerjee32@gmail.com,Vikram Banerjee,Male,WBBSE,84.5,Other state Board,67,Cyber Security Engineer,7.2,Yes,Yes,0,No,5,1,Not Placed,Cyber Security Analyst,
ayush_mahto90@gmail.com,Ayush Mahto,Male,ICSE,76.8,ISE,82,Computer Science ,7.79,Yes,No,0,Yes,4,4,Placed,Full Stack Developer,
osasish143@gmail.com,Asish Bauri,Male,ICSE,90.8,CBSE,92,Information Technology,9.94,Yes,No,0,Yes,4,3,Placed,Cloud Engineer,
smita_kapoor11@gmail.com,Smita Kapoor,Female,WBBSE,73.1,CBSE,66.3,Artificial Intelligence and Machine Learning,8.83,Yes,No,0,Yes,2,4,Placed,Machine Learning Engineer,
smita_gupta88@gmail.com,Smita Gupta,Female,CBSE,93.2,CBSE,89,Artificial Intelligence and Data Science,8.13,Yes,Yes,0,Yes,5,3,Placed,Business Analyst,
payal_iyer92@gmail.com,Payal Iyer,Female,State Board,81.8,ISE,74.5,Artificial Intelligence And Machine Learning,9.39,No,No,0,Yes,1,4,Not Placed,AI Engineer,
ipshita_kar72@gmail.com,Ipshita Kar,Female,WBBSE,86.5,WBCHSE,93.4,Artificial Intelligence and Data Science,8.8,No,No,0,Yes,5,2,Placed,Data Analyst,
anupam_biswas61@gmail.com,Anupam Biswas,Male,CBSE,85.5,Other state Board,62.3,Cyber Security Engineer,7.99,No,No,0,Yes,5,3,Placed,Cyber Security Analyst,
khusi_chakraborty23@gmail.com,Khusi Chakraborty,Female,WBBSE,86.6,Other state Board,71.3,Computer Science,7.65,Yes,No,0,Yes,3,4,Placed,Software Developer,
bharat_pathak45@gmail.com,Bharat Pathak,Male,ICSE,99.2,CBSE,73.4,Artificial Intelligence and Machine Learning,8.3,Yes,Yes,0,Yes,5,3,Placed,Machine Learning Engineer,
kunal_chakraborty15@gmail.com,Kunal Chakraborty,Male,ICSE,85.1,WBCHSE,87.3,Information Technology,7.9,Yes,No,0,Yes,5,2,Placed,Cloud Engineer,
dev_bera78@gmail.com,Dev Bera,Male,WBBSE,98.9,WBCHSE,78.6,Information Technology,9.55,No,No,0,Yes,3,2,Placed,Cloud Engineer,
8348365251.puru@gmail.com,Purnima Rai,Female,ICSE,95,ISC,93,Information Technology,8.2,Yes,No,0,Yes,3,4,Placed,Cloud Engineer,
ananya_chatterjee99@gmail.com,Ananya Chatterjee,Female,ICSE,84.3,CBSE,90,Artificial Intelligence And Machine Learning,7,No,Yes,3,Yes,4,3,Not Placed,AI Engineer,
anjali_srivastava96@gmail.com,Anjali Srivastava,Female,ICSE,90.3,ISE,83.9,Artificial Intelligence and Data Science,9.36,Yes,Yes,0,Yes,1,4,Placed,Data Analyst,
tanushree_chakraborty89@gmail.com,Tanushree Chakraborty,Female,State Board,87.3,Other state Board,60.3,Artificial Intelligence and Data Science,7.17,No,No,1,Yes,2,4,Not Placed,Business Analyst,
saurabh_das26@gmail.com,Saurabh Das,Male,ICSE,74.6,Other state Board,88,Artificial Intelligence and Machine Learning,9.08,Yes,No,0,Yes,1,4,Placed,Data Analyst,
nayanika_shukla32@gmail.com,Nayanika Shukla,Female,WBBSE,82.4,Other state Board,92.5,Information Technology,9.32,Yes,Yes,0,Yes,4,3,Placed,Cloud Engineer,
jyoti_chauhan47@gmail.com,Jyoti Chauhan,Female,ICSE,85,CBSE,87.7,Information Technology,8.2,Yes,Yes,0,Yes,5,4,Placed,Cloud Engineer,
nisha_pal33@gmail.com,Nisha Pal,Female,CBSE,80.2,WBCHSE,92.4,Artificial Intelligence and Data Science,8.94,Yes,No,0,Yes,5,3,Placed,Data Analyst,
dev_bhowmick65@gmail.com,Dev Bhowmick,Male,CBSE,84,ISE,83.9,Cyber Security Engineer,8.97,Yes,Yes,0,Yes,5,4,Placed,Cyber Security Analyst,
bharat_verma79@gmail.com,Bharat Verma,Male,CBSE,75.9,Other state Board,85.6,Information Technology,9.59,No,Yes,0,Yes,2,3,Placed,Cloud Engineer,
anjali_das43@gmail.com,Anjali Das,Female,ICSE,96,ISE,94,Artificial Intelligence and Data Science,9.25,Yes,No,0,Yes,1,4,Placed,Data Analyst,
soumikgooo7@gmail.com,Soumik Goswami,Male,CBSE,89.3,CBSE,81.4,Information Technology,9.2,No,Yes,0,Yes,2,3,Placed,Cloud Engineer,
amit_mahto77@gmail.com,Amit Mahto,Male,CBSE,99,Other state Board,84,Artificial Intelligence and Data Science,7.77,No,Yes,0,Yes,5,4,Placed,Data Analyst,
rakesh_jha37@gmail.com,Rakesh Jha,Male,CBSE,85.2,CBSE,90.1,Artificial Intelligence and Machine Learning,7,No,Yes,3,Yes,4,3,Not Placed,Machine Learning Engineer,
its.amitb77@gmail.com,Amit Banerjee,Male,WBBSE,90,WBCHSE,89,Computer Science ,9.6,Yes,Yes,0,Yes,2,4,Placed,Full Stack Developer,
khusi_bera5@gmail.com,Khusi Bera,Female,WBBSE,74,WBCHSE,81.4,Artificial Intelligence and Data Science,7.14,No,Yes,1,No,5,1,Not Placed,Data Analyst,
mandira_srivastava55@gmail.com,Mandira Srivastava,Female,CBSE,81.2,CBSE,71.9,Artificial Intelligence And Machine Learning,7.17,No,No,1,Yes,5,4,Not Placed,AI Engineer,
rajesh_thakur98@gmail.com,Rajesh Thakur,Male,CBSE,80.3,Other state Board,87.7,Information Technology,9.09,Yes,No,0,Yes,5,3,Placed,Cloud Engineer,
kaushik_chatterjee32@gmail.com,Kaushik Chatterjee,Male,ICSE,97.6,CBSE,85.1,Artificial Intelligence and  Machine Learning,7.11,Yes,No,2,No,2,2,Not Placed,Data Analyst,
shivaninadgire@gmail.com,Nadgire Shivani,Female,State Board,87.2,MSBTE,82.4,Information Technology,7.8,No,Yes,0,No,2,3,Placed,Cloud Engineer,
abhijit_sarkar27@gmail.com,Abhijit Sarkar,Male,ICSE,89.3,WBCHSE,90.7,Cyber Security Engineer,9.49,Yes,No,0,Yes,5,2,Placed,Cyber Security Analyst,
suvankar_ghosh46@gmail.com,Suvankar Ghosh,Male,State Board,86.7,CBSE,72,Computer Science ,7.27,Yes,Yes,0,Yes,4,4,Placed,Full Stack Developer,
kavya_sengupta20@gmail.com,Kavya Sengupta,Female,CBSE,89,ISE,93.8,Artificial Intelligence and Data Science,8.33,Yes,Yes,0,Yes,3,1,Not Placed,Data Analyst,
rohan_pandey58@gmail.com,Rohan Pandey,Male,State Board,85.2,CBSE,88.2,Cyber Security Engineer,8.02,Yes,No,0,Yes,5,3,Placed,Cyber Security Analyst,
